CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
287371235,19,MANHATTAN,5/20/23,11:00:00,5/20/24,11:20:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",CLOTHING/BOUTIQUE,5/23/24,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,998068,221954,40.77588,-73.950106,"(40.77588, -73.950106)",POINT (-73.950106 40.77588)
290330883,67,BROOKLYN,2/28/23,18:41:00,2/28/23,18:50:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,(null),PATROL BORO BKLYN SOUTH,223,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE-HOUSE,7/19/24,(null),45-64,BLACK,M,,25-44,UNKNOWN,M,996920,176967,40.652402,-73.954337,"(40.652402, -73.954337)",POINT (-73.954337 40.652402)
280016259,30,MANHATTAN,11/27/23,9:00:00,11/27/23,9:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,1/5/24,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE HISPANIC,M,997082,237854,40.819523,-73.953639,"(40.819523, -73.953639)",POINT (-73.953639 40.819523)
280614480,61,BROOKLYN,9/27/23,14:00:00,9/29/23,21:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,1/16/24,(null),(null),(null),(null),,45-64,WHITE,F,997736,151810,40.583352,-73.951446,"(40.583352, -73.951446)",POINT (-73.951446 40.583352)
284723958,67,BROOKLYN,4/1/23,17:17:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE,4/3/24,(null),(null),(null),(null),,45-64,WHITE HISPANIC,F,997513,174246,40.644932,-73.952204,"(40.644932, -73.952204)",POINT (-73.952204 40.644932)
282228548,19,MANHATTAN,11/1/23,0:00:00,11/30/23,23:59:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,2/14/24,(null),(null),(null),(null),,45-64,WHITE,F,996719,226213,40.787571,-73.954971,"(40.787571, -73.954971)",POINT (-73.954971 40.787571)
291190764,19,MANHATTAN,11/17/23,9:00:00,6/15/24,9:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,8/5/24,(null),UNKNOWN,WHITE,U,,UNKNOWN,UNKNOWN,D,997026,220846,40.77284,-73.953871,"(40.77284, -73.953871)",POINT (-73.953871 40.77284)
280657715,71,BROOKLYN,12/12/23,12:23:00,12/29/23,13:55:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,458,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,1/17/24,(null),(null),(null),(null),,25-44,BLACK,F,996824,182756,40.668292,-73.954673,"(40.668292, -73.954673)",POINT (-73.954673 40.668292)
287241953,23,MANHATTAN,11/21/23,18:00:00,5/21/24,18:10:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,117,FELONY,(null),DANGEROUS DRUGS,(null),PATROL BORO MAN NORTH,512,"CONTROLLED SUBSTANCE,SALE 1",STREET,5/21/24,(null),25-44,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,998160,227234,40.79036997148728,-73.94976616,"(40.79036997148728, -73.9497661559271)",POINT (-73.9497661559271 40.79036997148728)
281347753,90,BROOKLYN,11/29/23,8:00:00,12/31/23,23:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN NORTH,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",RESIDENCE - APT. HOUSE,1/30/24,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE,M,998077,195341,40.702833,-73.95013,"(40.702833, -73.95013)",POINT (-73.95013 40.702833)
286688248,28,MANHATTAN,8/1/23,15:00:00,4/30/24,15:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,5/10/24,(null),UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,997294,233339,40.807129,-73.952881,"(40.807129, -73.952881)",POINT (-73.952881 40.807129)
284665235,94,BROOKLYN,4/12/23,12:00:00,4/12/23,12:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN NORTH,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",BANK,4/2/24,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE HISPANIC,M,997157,206388,40.733155,-73.953428,"(40.733155, -73.953428)",POINT (-73.953428 40.733155)
280495279,61,BROOKLYN,10/1/23,9:00:00,1/10/24,9:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,1/14/24,(null),(null),(null),(null),,45-64,WHITE,M,997477,161502,40.609954,-73.952361,"(40.609954, -73.952361)",POINT (-73.952361 40.609954)
281413042,28,MANHATTAN,10/10/23,12:00:00,10/25/23,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,(null),PATROL BORO MAN NORTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,1/31/24,(null),UNKNOWN,UNKNOWN,M,,45-64,ASIAN / PACIFIC ISLANDER,M,997847,232735,40.805469,-73.950884,"(40.805469, -73.950884)",POINT (-73.950884 40.805469)
290454121,94,BROOKLYN,12/5/23,0:01:00,4/25/24,23:59:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO BKLYN NORTH,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",RESIDENCE - APT. HOUSE,7/22/24,(null),(null),(null),(null),,65+,WHITE,F,997508,203524,40.725294,-73.952167,"(40.725294, -73.952167)",POINT (-73.952167 40.725294)
279876290,61,BROOKLYN,12/26/23,0:01:00,12/28/23,9:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,(null),PATROL BORO BKLYN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",(null),1/2/24,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,997015,157544,40.599091,-73.954031,"(40.599091, -73.954031)",POINT (-73.954031 40.599091)
