id,latitude,longitude,node
45277537,40.76661,-73.9881,42445033
9.71354E+17,40.75076357,-73.99460515,4443775465
3857863,40.8356,-73.9425,561035375
40896611,40.75112,-73.9786,100522479
49584983,40.75995,-73.99296,42443561
45457047,40.76737,-73.98787,42440960
45847112,40.76519,-73.99013,42454042
9.29978E+17,40.70999354,-74.00499963,42457311
28224871,40.83969,-73.93861,42432226
29923599,40.76176,-73.97659,42450426
34718504,40.79283,-73.9719,42436990
39022484,40.73888,-74.00343,42431497
35574095,40.71446,-74.00826,42449597
9.50727E+17,40.7603457,-73.9877968,42435677
39558009,40.76381,-73.94959,42427030
5.93512E+17,40.82378,-73.9508,42447404
235951,40.75408,-73.97071,42448813
271694,40.75282,-73.97315,42444051
13213869,40.84387,-73.94179,42427143
1027808,40.72154,-73.98174,3783071112
1146653,40.79296,-73.96499,42425232
48867046,40.7338,-73.98532,42431461
3394517,40.80303,-73.93888,42447207
49057864,40.85373,-73.93614,42442384
49124837,40.74766,-73.99227,42427805
51425482,40.733143,-74.009605,42444267
52553133,40.76301,-73.97743,42430375
52553514,40.76314,-73.97703,42430378
52553544,40.76344,-73.97524,42427764
50802956,40.81204,-73.94234,42429532
15158194,40.83501,-73.93934,748726602
9.45007E+17,40.82022269,-73.94580424,42433789
1.02549E+18,40.75704,-73.99068,42435660
50915627,40.73867,-73.99878,42439826
51901717,40.70401,-74.00919,42421960
51821915,40.755878,-73.963348,42455963
5.83429E+17,40.78823,-73.96957,42421996
42888442,40.77328,-73.95003,42428024
7.41856E+17,40.7749268,-73.9481632,42428032
51288172,40.80007,-73.95926,42435343
44189936,40.74293,-73.97318,42453187
8.00975E+17,40.79398829,-73.94719684,596776349
8.57968E+17,40.8027795,-73.95851182,42437218
8.75889E+17,40.7742384,-73.9486798,42428029
53364824,40.77255,-73.94665,42439416
18971993,40.79681,-73.94515,596776546
9.93473E+17,40.74612142,-73.99250682,42434807
7.06103E+17,40.80167374,-73.95898186,42446733
1.01623E+18,40.81167172,-73.94215547,42438236
5.49267E+17,40.79024,-73.94791,42434895
6.70936E+17,40.7955675,-73.95002258,42436637
50879115,40.80045,-73.9538,2141026525
51966299,40.79751,-73.9707,42428725
9.86779E+17,40.75013945,-74.00272135,42434821
45578986,40.78225,-73.95408,42444814
18359018,40.78118,-73.95306,42436546
15343302,40.81011,-73.94404,3099326127
5231817,40.75966,-73.96124,42423579
8.7042E+17,40.78185234,-73.94543096,42444506
7.44749E+17,40.78695,-73.94853,42450048
4472978,40.75398,-73.99982,42446668
8.03165E+17,40.77810632,-73.9543089,42450028
45378043,40.77668313,-73.94496253,42445757
8.59283E+17,40.78155,-73.9564,596776103
46335178,40.78213,-73.95269,42447144
9.84446E+17,40.72308561,-74.00409227,42436770
707396,40.72544,-73.9805,2324482224
9.93726E+17,40.71312013,-73.98702905,42437770
6.5145E+17,40.72561549,-73.98405861,42444829
9.12574E+17,40.7152693,-73.98147783,42435544
721762,40.72585,-73.98542,42444827
12190880,40.79512,-73.96325,42447275
1.00679E+18,40.77669,-73.95299,42435516
318021,40.80272,-73.95316,42446775
198478,40.7794,-73.95096,42443042
8.78969E+17,40.80296,-73.95639,42435755
7.76014E+17,40.80634,-73.95905,1506445821
8.46546E+17,40.8174733,-73.9441909,42435852
53292314,40.73961,-73.99441,42429659
3780113,40.8096,-73.94712,2141026501
51307520,40.79977798,-73.95462799,2141026500
8.92715E+17,40.8236919,-73.94452252,42432963
8.11509E+17,40.772422,-73.95019308,42428022
8.92089E+17,40.80504404,-73.96664183,42428790
51023989,40.80788,-73.95148,42435794
